Genre,Reports,Age,Gpa,Year,Count,Gender,Nationality
Food and Cantines,"6. ""The cafeteria is always crowded during peak hours, making it difficult to find a place to sit and eat.""",21,1.02,3,1,F,Indonesia
Food and Cantines,"7. ""The quality of the food in the campus dining hall needs to be improved. It's often bland and unappetizing.""",23,1.13,3,1,F,Indonesia
Food and Cantines,"8. ""The food served in the campus cafe is often overpriced and not very tasty. I wish there were more options available.""",18,3.98,3,1,F,Indonesia
Food and Cantines,"9. ""The campus food options are not very diverse, and I often end up eating the same things over and over again.""",21,3.0,1,1,F,Indonesia
Food and Cantines,"10. ""I appreciate that the campus has a few healthy options available, but they are often more expensive than the other menu items.""",18,1.25,5,1,F,Indonesia
Food and Cantines,"11. ""The snacks available in the vending machines are often stale or expired. I wish they were restocked more frequently.""",20,2.86,2,1,F,Indonesia
Food and Cantines,"12. ""The cafeteria should offer more options for students with dietary restrictions or food allergies.""",20,1.38,2,1,F,Indonesia
Food and Cantines,"13. ""The food options on campus are limited and often overpriced. I end up having to spend a lot of money on food each week.""",19,2.03,2,1,F,Indonesia
Food and Cantines,"14. ""The cafeteria is always very crowded during lunchtime, which makes it difficult to find a place to sit and eat.""",20,4.21,1,1,F,Indonesia
Food and Cantines,"15. ""I wish there were more options available for breakfast on campus. The current selection is quite limited.""",21,4.02,5,1,F,Indonesia
Food and Cantines,"16. ""The cafeteria often runs out of popular menu items before the end of the day, leaving students with limited options.""",18,4.9,1,1,F,Indonesia
Food and Cantines,"17. ""The food served in the student center is often cold and unappetizing. I wish the quality were better.""",21,3.32,2,1,F,Indonesia
Food and Cantines,"18. ""The vending machines on campus are often out of order, making it difficult to find snacks and drinks.""",20,4.64,3,1,F,Indonesia
Food and Cantines,"19. ""The campus needs to provide more healthy snack options, like fresh fruits and vegetables.""",22,3.99,2,1,F,Indonesia
Food and Cantines,"20. ""The prices for food on campus are too high, especially considering the quality and variety of the options available.""",23,4.2,5,1,F,Indonesia
Food and Cantines,"21. ""The cafeteria should offer more vegetarian and vegan options, as there are many students on campus with these dietary restrictions.""",19,1.09,5,1,F,Indonesia
Food and Cantines,"22. ""The coffee served in the campus cafe is often burnt and bitter. I wish there were better options available.""",18,4.94,5,1,F,Indonesia
Food and Cantines,"23. ""The campus should provide more options for students who need to grab a quick bite between classes.""",21,1.35,2,1,F,Indonesia
Food and Cantines,"24. ""The snacks available in the campus store are often overpriced and not very appetizing.""",22,1.61,5,1,F,Indonesia
Food and Cantines,"25. ""The cafeteria should offer more international food options, to better reflect the diverse student population.""",18,4.84,1,1,F,Indonesia
Food and Cantines,"26. ""The campus needs to provide more options for students who have early morning classes and need breakfast on the go.""",19,4.6,1,1,F,Indonesia
Food and Cantines,"27. ""The quality of the food in the campus cafe needs to be improved. It's often stale and unappetizing.""",20,1.44,2,1,F,Indonesia
Food and Cantines,"28. ""The campus should consider offering a meal plan for students, to make dining on campus more affordable.""",23,2.58,5,1,F,Indonesia
Food and Cantines,"29. ""The vending machines on campus should offer healthier options, like granola bars and trail mix.""",19,2.16,4,1,F,Indonesia
Food and Cantines,"30. ""The campus needs to provide more options for students who have late classes and need dinner on the go.""",21,2.76,2,1,F,Indonesia
Food and Cantines,"1. ""The food on campus is decent, but the snacks available at the cantine are too expensive.""",19,3.74,5,1,F,Indonesia
